Stkcd,Accper,Indcd
000519,2017/3/31,C30
000519,2017/6/30,C30
000519,2017/9/30,C35
000519,2017/12/31,C35
000520,2017/3/31,G55
000520,2017/6/30,G55
000520,2017/9/30,G55
000520,2017/12/31,G55
000521,2017/3/31,C38
000521,2017/6/30,C38
000521,2017/9/30,C38
000521,2017/12/31,C38
000523,2017/3/31,C26
000523,2017/6/30,C26
000523,2017/9/30,C26
000523,2017/12/31,C26
000524,2017/3/31,H61
000524,2017/6/30,H61
000524,2017/9/30,H61
000524,2017/12/31,H61
000525,2017/3/31,C26
000525,2017/6/30,C26
000525,2017/9/30,C26
000525,2017/12/31,C26
000526,2017/3/31,P82
000526,2017/6/30,P82
000526,2017/9/30,P82
000528,2017/3/31,C35
000528,2017/6/30,C35
000528,2017/9/30,C35
000528,2017/12/31,C35
000529,2017/3/31,C13
000529,2017/6/30,C13
000529,2017/9/30,C13
000529,2017/12/31,C13
000530,2017/3/31,C34
000530,2017/6/30,C34
000530,2017/9/30,C34
000530,2017/12/31,C34
000531,2017/3/31,D44
000531,2017/6/30,D44
000531,2017/9/30,D44
000531,2017/12/31,D44
000532,2017/3/31,S90
000532,2017/6/30,S90
000532,2017/9/30,S90
000532,2017/12/31,S90
000533,2017/3/31,C38
000533,2017/6/30,C38
000533,2017/9/30,C38
000533,2017/12/31,C38
000534,2017/3/31,K70
000534,2017/6/30,K70
000534,2017/9/30,K70
000534,2017/12/31,K70
000536,2017/3/31,C39
000536,2017/6/30,C39
000536,2017/9/30,C39
000536,2017/12/31,C39
000537,2017/3/31,K70
000537,2017/6/30,K70
000537,2017/9/30,K70
000537,2017/12/31,K70
000538,2017/3/31,C27
000538,2017/6/30,C27
000538,2017/9/30,C27
000538,2017/12/31,C27
000539,2017/3/31,D44
000539,2017/6/30,D44
000539,2017/9/30,D44
000539,2017/12/31,D44
000540,2017/3/31,K70
000540,2017/6/30,K70
000541,2017/3/31,C38
000541,2017/6/30,C38
000541,2017/9/30,C38
000541,2017/12/31,C38
000543,2017/3/31,D44
000543,2017/6/30,D44
000543,2017/9/30,D44
000543,2017/12/31,D44
000544,2017/3/31,D46
000544,2017/6/30,D46
000544,2017/9/30,D46
000544,2017/12/31,D46
000545,2017/3/31,C26
000545,2017/6/30,C26
000545,2017/9/30,C26
000545,2017/12/31,C26
000546,2017/3/31,C30
000546,2017/6/30,C30
000546,2017/9/30,C30
000546,2017/12/31,C30
000547,2017/3/31,C39
000547,2017/6/30,C39
000547,2017/9/30,C39
000548,2017/3/31,G54
000548,2017/6/30,G54
000548,2017/9/30,G54
000548,2017/12/31,G54
000550,2017/3/31,C36
000550,2017/6/30,C36
000550,2017/9/30,C36
000550,2017/12/31,C36
000551,2017/3/31,S90
000551,2017/6/30,S90
000551,2017/9/30,S90
000551,2017/12/31,S90
000552,2017/3/31,B06
000552,2017/6/30,B06
000552,2017/9/30,B06
000552,2017/12/31,B06
000553,2017/3/31,C26
000553,2017/6/30,C26
000553,2017/9/30,C26
000553,2017/12/31,C26
000554,2017/3/31,F51
000554,2017/6/30,F51
000554,2017/9/30,F51
000554,2017/12/31,F51
000555,2017/3/31,I65
000555,2017/6/30,I65
000555,2017/12/31,I65
000557,2017/3/31,G53
000557,2017/9/30,G53
000558,2017/6/30,K70
000558,2017/9/30,K70
000558,2017/12/31,K70
000559,2017/3/31,C36
000559,2017/6/30,C36
000559,2017/9/30,C36
000559,2017/12/31,C36
000560,2017/3/31,F52
000560,2017/6/30,F52
000560,2017/9/30,F52
000560,2017/12/31,F52
000561,2017/3/31,C39
000561,2017/6/30,C39
000561,2017/9/30,C39
000561,2017/12/31,C39
000563,2017/3/31,J69
000563,2017/6/30,J69
000563,2017/9/30,J69
000563,2017/12/31,J69
000564,2017/3/31,F52
000564,2017/6/30,F52
000564,2017/9/30,F52
000565,2017/3/31,C26
000565,2017/6/30,C26
000565,2017/9/30,C26
000565,2017/12/31,C26
000566,2017/3/31,C27
000566,2017/6/30,C27
000566,2017/9/30,C27
000567,2017/3/31,K70
000567,2017/6/30,K70
000567,2017/9/30,K70
000567,2017/12/31,K70
000568,2017/3/31,C15
000568,2017/6/30,C15
000568,2017/9/30,C15
000568,2017/12/31,C15
000570,2017/3/31,C34
000570,2017/6/30,C34
000570,2017/9/30,C34
000570,2017/12/31,C34
000571,2017/3/31,B06
000571,2017/9/30,B06
000571,2017/12/31,S90
000572,2017/3/31,C36
000572,2017/6/30,C36
000572,2017/9/30,C36
000572,2017/12/31,C36
000573,2017/3/31,K70
000573,2017/6/30,K70
000573,2017/9/30,K70
000573,2017/12/31,K70
000576,2017/3/31,C22
000576,2017/6/30,C22
000576,2017/9/30,C22
000576,2017/12/31,C22
000581,2017/3/31,C36
000581,2017/6/30,C36
000581,2017/9/30,C36
000581,2017/12/31,C36
000582,2017/3/31,G55
000582,2017/6/30,G55
000582,2017/9/30,G55
000582,2017/12/31,G55
000584,2017/3/31,C28
000584,2017/6/30,C28
000584,2017/9/30,C28
000584,2017/12/31,C28
000585,2017/3/31,C38
000585,2017/6/30,C38
000586,2017/3/31,C39
000586,2017/6/30,C39
000586,2017/9/30,C39
000586,2017/12/31,C39
000587,2017/3/31,C41
000587,2017/6/30,C41
000587,2017/9/30,C41
000587,2017/12/31,C41
000589,2017/3/31,C29
000589,2017/6/30,C29
000589,2017/9/30,C29
000589,2017/12/31,C29
000590,2017/3/31,C27
000590,2017/6/30,C27
000590,2017/9/30,C27
000590,2017/12/31,C27
000591,2017/3/31,D44
000591,2017/6/30,D44
000591,2017/9/30,D44
000591,2017/12/31,D44
000592,2017/3/31,A02
000592,2017/6/30,A02
000593,2017/3/31,F52
000593,2017/6/30,F52
000593,2017/9/30,D45
000593,2017/12/31,D45
000595,2017/3/31,C34
000595,2017/6/30,C34
000595,2017/9/30,C34
000595,2017/12/31,C34
000596,2017/3/31,C15
000596,2017/6/30,C15
000596,2017/9/30,C15
000596,2017/12/31,C15
000597,2017/3/31,C27
000597,2017/6/30,C27
000597,2017/9/30,C27
000597,2017/12/31,C27
000598,2017/3/31,D46
000598,2017/6/30,D46
000598,2017/9/30,D46
000598,2017/12/31,D46
000599,2017/3/31,C29
000599,2017/6/30,C29
000599,2017/9/30,C29
000599,2017/12/31,C29
000600,2017/3/31,D44
000600,2017/6/30,D44
000600,2017/9/30,D44
000600,2017/12/31,D44
000601,2017/3/31,D44
000601,2017/6/30,D44
000601,2017/9/30,D44
000601,2017/12/31,D44
000603,2017/3/31,B09
000603,2017/6/30,B09
000603,2017/9/30,B09
000603,2017/12/31,B09
000605,2017/3/31,D46
000605,2017/6/30,D46
000605,2017/9/30,D46
000605,2017/12/31,D46
000606,2017/3/31,C27
000606,2017/6/30,C27
000606,2017/12/31,C27
000607,2017/3/31,R85
000607,2017/6/30,R85
000607,2017/9/30,R85
000607,2017/12/31,R85
000608,2017/3/31,K70
000608,2017/6/30,K70
000608,2017/9/30,K70
000608,2017/12/31,K70
000609,2017/3/31,S90
000609,2017/6/30,S90
000609,2017/9/30,S90
000609,2017/12/31,S90
000610,2017/3/31,N78
000610,2017/9/30,N78
000610,2017/12/31,N78
000611,2017/3/31,C17
000611,2017/6/30,C17
000611,2017/9/30,C17
000611,2017/12/31,C17
000612,2017/3/31,C32
000612,2017/6/30,C32
000612,2017/9/30,C32
000612,2017/12/31,C32
000613,2017/9/30,H61
000613,2017/12/31,H61
000615,2017/3/31,K70
000615,2017/6/30,K70
000615,2017/9/30,K70
000615,2017/12/31,K70
000616,2017/3/31,K70
000616,2017/6/30,K70
000616,2017/9/30,K70
000616,2017/12/31,K70
000617,2017/3/31,C34
000617,2017/6/30,C34
000617,2017/9/30,J67
000617,2017/12/31,J67
