Stkcd,Ddate,Meps
證券代碼,報告期間,每股收益
沒有單位,沒有單位,元
002414,2019-12-31,0.2356
002415,2019-12-31,1.343
002416,2019-12-31,0.2773
002417,2019-12-31,0.03
002418,2019-12-31,-0.48
002419,2019-12-31,0.7159
002421,2019-12-31,-0.1803
002422,2019-12-31,0.66
002423,2019-12-31,0.2831
002424,2019-12-31,0.21
002425,2019-12-31,0.26
002426,2019-12-31,-0.892
002427,2019-12-31,0.15
002428,2019-12-31,-0.09
002429,2019-12-31,0.25
002430,2019-12-31,0.66
002431,2019-12-31,-0.66
002433,2019-12-31,0.13
002434,2019-12-31,0.3
002435,2019-12-31,-0.3012
002436,2019-12-31,0.2
002438,2019-12-31,0.3542
002439,2019-12-31,0.77
002440,2019-12-31,1.19
002441,2019-12-31,0.41
002443,2019-12-31,0.53
002444,2019-12-31,0.84
002445,2019-12-31,-1.29
002446,2019-12-31,-0.87
002447,2019-12-31,-0.7
002448,2019-12-31,0.15
002449,2019-12-31,0.6594
002450,2019-12-31,-1.93
002451,2019-12-31,0.08
002452,2019-12-31,0.274
002453,2019-12-31,-0.55
002454,2019-12-31,0.28
002455,2019-12-31,0.13
002456,2019-12-31,0.1892
002457,2019-12-31,0.47
002458,2019-12-31,3.79
002459,2019-12-31,1.27
002460,2019-12-31,0.28
002461,2019-12-31,0.22
002462,2019-12-31,1.44
002463,2019-12-31,0.715
002464,2019-12-31,-2.58
002465,2019-12-31,0.23
002466,2019-12-31,-5.24
002467,2019-12-31,0.13
002468,2019-12-31,0.92
002470,2019-12-31,-0.21
002472,2019-12-31,0.12
002474,2019-12-31,0.0801
002475,2019-12-31,0.88
002478,2019-12-31,0.63
002479,2019-12-31,0.34
002480,2019-12-31,-0.2833
002481,2019-12-31,0.15
002482,2019-12-31,0.09
002483,2019-12-31,0.21
002484,2019-12-31,0.2952
002485,2019-12-31,0.172
002488,2019-12-31,0.02
002489,2019-12-31,0.23
002491,2019-12-31,-1.6829
002493,2019-12-31,0.35
002494,2019-12-31,0.0445
002496,2019-12-31,-0.33
002497,2019-12-31,0.07
002498,2019-12-31,0.13
002499,2019-12-31,-0.65
002500,2019-12-31,0.18
002501,2019-12-31,-7.73
