嚜燕ostDate,Stkcd,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2017-03-18,002005,1,1905,2,1,0,1.43,1,6,391,C38,,
2017-10-11,002007,1,10765,26,8,5,0.1,2,66,399,C27,,
2017-11-22,002008,1,12908,42,8,2,2.63,2,189,335,C35,,
2017-05-15,002013,1,74120,37,32,11,2.04,2,28,30,C37,,
2017-12-11,002016,2,5167,16,8,0,1.92,1,35,24,K70,,
2017-09-13,002016,1,17762,4,4,1,0.32,2,106,0,K70,,
2017-01-17,002019,1,1298,2,1,0,1.63,0.5,6,12,C27,,
2017-11-09,002024,1,2165,7,0,1,0.45,0,30,163,F52,,
2017-04-14,002027,1,5494,5,4,3,1.47,2,141,253,L72,,
2017-04-15,002035,1,11764,33,1,2,0.28,2,51,338,C38,,
2017-12-18,002038,2,105741.5,113,79.5,6.5,1.32,2,24,380,C27,,
2017-12-04,002038,1,3474,4,3,3,4.47,1.5,52,324,C27,,
2017-12-21,002038,1,35277,93,80,4,1.32,2,24,380,C27,,
2017-10-26,002038,1,84305,14,14,33,4.58,0,453,0,C27,,
2017-08-18,002038,1,7677,5,0,1,0.1,1,6,24,C27,,
2017-08-29,002038,1,175177,83,77,8,1.01,2,24,380,C27,,
2017-10-24,002038,1,15233,36,8,2,0.8,2,20,192,C27,,
2017-08-02,002039,1,8747,62,35,10,0.18,2,24,319,D44,,
2017-12-17,002049,1,22033,6,6,0,0.1,2,211,374,C39,,
2017-06-25,002053,1,4878,4,3,6,0.02,2,5,58,C14,,
2017-05-11,002060,1,5531,7,5,6,0.11,1.5,13,335,E48,,
2017-09-30,002064,1,38546,43,21,7,3.57,1.5,14,52,C28,,
2017-11-10,002067,1,3043,2,1,0,3.92,1.5,204,118,C22,,
2017-12-25,002073,1,24458,6,0,29,4.75,0,2696,0,C35,,
2017-04-24,002073,1,1012678,1074,642,107,0.47,2,300,386,C35,,
2017-11-29,002074,1,1335,2,2,1,0.01,0.5,2,21,C38,,
2017-09-25,002076,1,8067,20,0,0,0,1,4,6,C38,,
2017-08-17,002077,1,99861,13,13,4,4.39,0,1255,0,K70,,
2017-07-06,002080,1,16026,7,0,7,4.28,0,1344,0,C30,,
2017-09-21,002085,1,6555,7,3,3,7.04,2,34,392,C36,,
2017-12-12,002086,1,23070,4,0,0,0.57,1.5,53,0,A04,,
2017-12-29,002086,1,26229,6,0,1,0.61,1.5,53,0,A04,,
2017-03-28,002088,1,3008,2,2,1,2.6,1.5,170,278,C30,,
2017-11-18,002089,1,3705,1,1,1,1.52,2,237,276,C39,,
2017-09-14,002089,1,1535,1,0,0,4.24,1.5,18,93,C39,,
2017-08-04,002092,1,1969,1,1,2,0.36,2,272,120,C26,,
2017-05-25,002097,1,325815,728,203,49,3.03,2,6,331,C35,,
2017-11-16,002102,1,6730,6,5,5,1.21,2,92,113,C27,,
2017-10-26,002104,2,62300.5,243,117,18.5,1.19,1.75,120,176,C39,,
2017-03-30,002106,1,57904,217,99,26,3.38,1.5,1940,310,C39,,
2017-03-15,002106,1,1407,1,1,1,0.55,1.5,588,375,C39,,
