嚜燕ostDate,Stkcd,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2017-03-23,000806,1,45010,33,31,11,0.15,2,123,56,C38,,
2017-05-08,000806,1,101380,57,57,21,4.12,3.5,465,0,C38,,
2017-11-17,000806,1,67388,21,21,6,4.65,3.5,465,0,C38,,
2017-11-21,000806,1,6935,17,12,2,2.05,1.5,1160,302,C38,,
2017-12-30,000806,1,34716,43,26,9,0,1,3,25,C38,,
2017-10-30,000809,1,1992,2,2,2,0.24,2,127,358,N78,,
2017-04-17,000809,1,397503,926,410,96,2.59,4,73,343,N78,,
2017-04-20,000809,1,1209,1,1,0,0.07,2,272,120,N78,,
2017-08-05,000809,1,34278,94,35,22,0,2,120,347,N78,,
2017-02-15,000809,1,5070,13,4,0,2.56,5,2082,337,N78,,
2017-11-16,000809,1,3605,8,8,1,0.28,2,127,358,N78,,
2017-10-11,000809,1,5908,8,4,5,1.13,1.5,169,306,N78,,
2017-11-30,000819,1,73183,267,0,10,4.01,4,209,339,C25,,
2017-12-29,000819,1,8517,13,5,0,2.18,2,1372,311,C25,,
2017-01-12,000819,1,3306,6,1,0,4.78,4,1112,346,C25,,
2017-06-21,000819,1,26920,132,5,8,2.37,3,697,362,C25,,
2017-05-05,000819,1,2520,4,0,0,5.09,4,1112,360,C25,,
2017-04-12,000819,1,3296,3,0,0,5.03,4,1112,346,C25,,
2017-03-13,000819,1,5479,21,20,0,0.37,2,65,28,C25,,
2017-02-18,000819,1,22982,92,0,13,5.34,3.5,1599,387,C25,,
2017-07-24,000819,1,5895,13,2,12,2.46,3,697,362,C25,,
2017-07-13,000836,1,64987,4,4,8,4.3,3,446,0,C38,,
2017-10-11,000836,1,27673,3,3,1,4.54,3,446,0,C38,,
2017-08-11,000837,1,42553,76,75,10,7.08,3,215,284,C34,,
2017-07-11,000837,1,35386,7,7,5,4.29,3.5,1129,0,C34,,
2017-08-25,000837,1,3766,1,1,0,0.27,2,160,0,C34,,
2017-08-20,000837,1,10933,3,3,2,0.42,1,5,0,C34,,
2017-05-08,000838,1,80001,24,24,10,4.12,4,1652,0,K70,,
2017-11-09,000850,1,5122,20,12,0,3.05,3,283,356,C17,,
2017-09-07,000850,1,68056,143,143,2,0.3,2,135,0,C17,,
2017-09-11,000850,1,55457,174,174,1,0.32,2,122,0,C17,,
2017-08-28,000850,1,50264,144,40,13,0.11,2.5,248,317,C17,,
2017-07-22,000850,2,48333,169.5,75,20,0.1,2.25,163,184.5,C17,,
2017-08-08,000850,2,58165.5,162,162,9,0.22,2,122,0,C17,,
2017-11-08,000856,1,34319,124,107,5,4.61,3,531,349,C35,,
2017-10-26,000856,1,54420,181,111,10,4.58,3,531,349,C35,,
2017-06-04,000856,1,2860,7,1,0,3.21,3.5,1216,360,C35,,
2017-12-10,000856,1,19169,24,8,5,4.7,3,531,349,C35,,
2017-04-27,000856,1,1555,1,0,0,0.03,3,1118,369,C35,,
2017-04-25,000856,1,90238,93,93,10,4.08,3.5,1154,0,C35,,
2017-04-26,000856,1,49018,31,31,6,4.08,3.5,1154,0,C35,,
2017-05-03,000856,1,23674,68,38,6,9.15,4,679,263,C35,,
2017-05-02,000856,1,54634,44,44,17,4.1,3.5,1154,0,C35,,
2017-05-19,000856,1,3947,7,0,1,1.08,3,331,344,C35,,
2017-05-17,000856,2,9631,10.5,5.5,4.5,3.19,3.75,1815.5,361.5,C35,,
2017-04-11,000856,1,2650,3,1,0,4.83,3.5,1219,305,C35,,
2017-04-17,000859,1,2557,3,2,2,8.18,2,131,381,C29,,
2017-08-16,000859,1,63503,35,35,12,4.39,3,485,0,C29,,
2017-08-24,000859,1,7338,7,2,0,6.88,4,233,366,C29,,
2017-10-13,000859,1,56341,17,17,10,4.55,3.5,545,0,C29,,
2017-11-23,000859,1,51326,15,15,6,4.66,3.5,545,0,C29,,
2017-12-06,000859,1,3546,3,3,0,1.66,1,29,203,C29,,
2017-12-28,000859,1,47302,4,4,1,4.76,3,463,0,C29,,
2017-03-14,000859,1,1928,2,0,1,6.43,4,228,333,C29,,
2017-02-06,000859,1,10675,4,2,1,6.33,4,240,375,C29,,
