嚜燕ostDate,Stkcd,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2017-08-04,000651,1,6685,10,4,1,0.24,3,615,321,C38,,
2017-06-28,000651,1,492045,145,145,170,4.25,4.5,5407,0,C38,,
2017-07-11,000651,1,5440,13,1,1,0.23,3,1074,315,C38,,
2017-07-05,000651,1,4339,11,11,0,2.69,2.5,319,327,C38,,
2017-10-20,000651,1,7956,7,4,3,0.52,2.5,213,328,C38,,
2017-10-23,000651,1,12768,18,14,3,4.17,3,211,328,C38,,
2017-09-27,000651,1,8926,24,11,1,5.36,2.5,157,391,C38,,
2017-09-07,000651,1,2996,4,0,2,2.7,3,201,354,C38,,
2017-12-29,000656,1,4825,7,3,3,2.62,3,264,336,K70,,
2017-03-01,000661,1,11265,19,0,1,2.08,3.5,1126,321,C27,,
2017-03-13,000661,1,51217,2,1,2,1.92,3.5,4215,342,C27,,
2017-09-05,000661,1,26734,9,9,4,4.44,3.5,3394,0,C27,,
2017-12-13,000661,1,27522,10,10,4,4.72,3.5,3394,0,C27,,
2017-01-18,000662,1,32482,5,0,1,3.81,3.5,758,0,I65,,
2017-12-12,000665,1,189412,420,0,13,3.38,3,149,387,R86,,
2017-12-13,000665,1,7840,11,10,0,8.38,3,891,332,R86,,
2017-10-23,000665,1,3165,7,3,2,8.24,3,891,334,R86,,
2017-11-13,000665,1,23230,78,43,6,8.3,3,891,332,R86,,
2017-06-22,000665,1,4500,3,3,3,7.9,3,891,334,R86,,
2017-07-11,000665,1,22812,15,15,6,4.29,3.5,1693,0,R86,,
2017-07-19,000665,2,18286,8,8,1,4.31,3.5,1693,0,R86,,
2017-09-18,000665,2,22731,26,22,3.5,6.31,3.25,1292,166,R86,,
2017-01-12,000666,1,5188,7,4,0,2.06,3,3155,335,C35,,
2017-01-16,000666,1,3277,1,0,0,1.68,2.5,518,397,C35,,
2017-06-28,000666,1,1694,2,2,2,2.52,3,3155,335,C35,,
2017-04-05,000669,1,59241,18,0,5,4.02,3.5,786,0,D45,,
2017-01-09,000672,1,3,0,0,0,3.27,3.5,1220,0,C30,,
2017-02-04,000672,2,4,0,0,0,3.35,3.5,1154,0,C30,,
2017-03-03,000672,2,6.5,0,0,0,3.42,3.5,1154,0,C30,,
2017-04-07,000672,2,27.5,0,0,0,3.52,3.5,1159,0,C30,,
2017-05-10,000672,2,12.5,0,0,0,3.61,3.5,1150,0,C30,,
2017-06-02,000672,2,3,0,0,0,3.67,3.5,1148,0,C30,,
2017-07-04,000672,2,2,0,0,0,3.76,3.5,1144,0,C30,,
2017-08-03,000672,2,4,0,0,0,3.84,3.5,1142,0,C30,,
2017-09-04,000672,2,4.5,0,0,0,3.93,3.5,1142,0,C30,,
2017-11-03,000672,2,5,0,0,0,4.09,3.5,1138,0,C30,,
2017-12-07,000672,1,12,0,0,0,4.18,3.5,1222,0,C30,,
2017-12-26,000673,1,40282,71,23,10,7.79,2.5,60,100,R87,,
2017-08-31,000676,2,1339,0.5,0.5,0,0.28,3,1597,0,I64,,
2017-09-14,000676,1,13101,6,3,3,0.46,2.5,245,387,I64,,
2017-10-18,000676,1,10870,22,22,0,0.42,3,1574,0,I64,,
2017-10-20,000676,2,12513,44,44,1,0.42,3,1574,0,I64,,
2017-10-23,000676,1,7564,18,18,1,0.43,3,1616,0,I64,,
2017-11-26,000676,1,13285,33,33,1,0.52,3,1597,0,I64,,
2017-12-15,000676,1,20523,85,85,1,0.58,3,1597,0,I64,,
2017-08-03,000683,1,3774,8,0,2,0.45,2.5,48,328,C26,,
2017-12-27,000683,1,28064,18,18,2,4.76,3.5,1434,0,C26,,
2017-12-29,000683,1,18869,4,4,2,4.76,3.5,1445,0,C26,,
2017-06-01,000683,1,58869,44,44,7,4.18,3.5,1445,0,C26,,
2017-02-27,000683,1,36983,22,19,5,3.93,3.5,1445,0,C26,,
2017-12-15,000685,2,14253,2.5,2.5,1.5,4.72,3,2637,0,D46,,
2017-01-13,000685,1,72168,3,3,4,3.8,3,2620,0,D46,,
2017-11-12,000697,1,10912,5,4,1,11.33,3.5,1718,341,C37,,
2017-12-01,000697,1,9329,15,10,4,2.71,2.5,44,378,C37,,
2017-12-14,000697,1,3384,5,3,1,2.45,3,1349,316,C37,,
2017-12-15,000697,1,3829,7,5,1,4.13,2.5,584,382,C37,,
2017-09-03,000697,1,7147,7,5,4,2.74,4.5,7805,310,C37,,
2017-04-14,000697,1,14015,14,14,9,6.65,3.5,235,397,C37,,
2017-07-24,000697,1,18226,20,20,3,0.18,3,1610,0,C37,,
2017-09-06,000697,1,8104,4,4,2,2.55,2.5,1439,317,C37,,
2017-07-16,000697,1,1901,1,1,2,0.16,3,1610,0,C37,,
2017-07-23,000697,1,22081,9,10,3,0.18,3,1610,0,C37,,
2017-06-19,000707,1,9328,15,3,3,1.48,4,12067,387,C26,,
2017-06-04,000709,1,3295,8,2,2,3.21,3.5,1216,345,C31,,
2017-03-10,000710,1,70087,16,14,2,3.95,3,964,0,M74,,
2017-12-01,000710,1,27866,29,10,7,0.62,2.5,301,324,M74,,
2017-12-20,000710,1,73358,35,8,11,4.34,3.5,786,338,M74,,
2017-04-05,000711,3,14866.33,5,4.67,1.67,4.02,3.5,2041,0,A05,,
2017-11-10,000711,5,4787.8,22.4,1,2.2,0.63,2.5,167,335,A05,,
2017-12-08,000716,1,17019,39,2,7,2,2.5,346,347,C14,,
2017-12-13,000716,1,12379,16,1,3,2.01,2.5,352,327,C14,,
2017-11-21,000716,1,14806,23,8,15,1.95,2.5,352,327,C14,,
2017-11-24,000716,1,19109,36,17,24,1.96,2.5,352,376,C14,,
2017-11-28,000716,1,2720,4,1,2,1.97,2.5,349,372,C14,,
2017-11-20,000716,2,23292.5,75.5,37,25.5,1.95,2.5,352,373,C14,,
2017-11-17,000716,1,6637,12,1,2,1.94,2.5,346,365,C14,,
2017-11-01,000716,1,6799,11,5,4,1.9,2.5,350,339,C14,,
2017-06-30,000718,1,2212,5,5,3,2.99,2.5,1618,333,K70,,
2017-04-06,000722,1,54285,23,22,8,4.03,3,871,0,D44,,
2017-12-18,000722,1,16866,9,0,4,0.85,3,2638,350,D44,,
2017-11-10,000723,1,84375,16,16,10,4.63,3.5,717,0,C25,,
2017-02-01,000725,2,11963.5,19.5,1.5,7,3.07,3.5,1044,347,C39,,
2017-02-21,000725,1,9434,7,5,2,2.58,5,1727,327,C39,,
2017-04-15,000725,1,19680,36,18,12,3.63,3,1010,389,C39,,
2017-05-03,000725,1,4794,8,1,1,0.04,3,1120,397,C39,,
2017-05-24,000725,1,4592,20,1,1,0.1,3,1074,369,C39,,
2017-06-22,000725,1,11582,11,11,0,2.59,3.5,810,377,C39,,
2017-07-13,000725,2,6446,23,23,0.5,2.7,2.5,594,371,C39,,
2017-07-17,000725,1,31461,69,64,5,3.88,3,954,361,C39,,
2017-09-29,000725,1,2111,2,0,1,3.27,4,207,318,C39,,
2017-09-30,000725,1,53519,75,37,13,7.25,3.5,436,387,C39,,
2017-10-04,000725,1,6185,18,3,2,1.21,3,334,377,C39,,
2017-10-08,000725,1,5711,13,7,2,1.22,3,337,384,C39,,
2017-10-10,000725,1,12970,21,20,6,2.95,2.5,594,371,C39,,
2017-10-18,000725,1,9560,8,0,1,7.89,4,2107,321,C39,,
2017-10-26,000725,1,5694,6,3,1,2.36,4,8851,355,C39,,
2017-10-27,000725,2,30762,15.5,3,13,1.82,2.75,360,345,C39,,
2017-10-28,000725,15,10620.93,15.27,11.8,5.53,2.99,2.77,1144.73,272.64,C39,,
2017-10-29,000725,1,4434,1,0,2,0.16,2.5,522,346,C39,,
2017-10-30,000725,1,192167,32,32,35,4.59,4.5,2999,0,C39,,
2017-11-06,000725,1,902,2,2,0,3.02,2.5,594,371,C39,,
2017-11-09,000725,2,1935.5,3.5,2,0.5,2.77,2.75,336,363,C39,,
2017-11-10,000725,1,6723,10,9,2,3.03,2.5,594,371,C39,,
2017-11-14,000725,1,3450,6,3,1,2.52,3.5,284,321,C39,,
2017-11-18,000725,1,26161,16,15,8,8.26,3.5,431,350,C39,,
2017-11-20,000725,2,4697,12.5,0.5,1.5,0.59,3,1123,362,C39,,
2017-11-27,000725,1,91841,203,93,22,1.17,3,2076,395,C39,,
2017-11-28,000725,1,7866,16,7,1,4.85,3.5,2030,0,C39,,
2017-12-15,000725,1,103273,120,65,40,3.16,4,1893,309,C39,,
2017-12-21,000725,1,5236,12,0,3,1.42,3,339,391,C39,,
2017-12-23,000725,1,22037,53,26,3,5.07,3.5,1304,389,C39,,
2017-12-28,000725,1,3210,1,0,2,2.72,2.5,137,385,C39,,
2017-06-13,000727,1,2433,2,2,6,0.3,2.5,376,75,C39,,
2017-10-30,000727,1,122031,18,18,12,4.59,3.5,1158,0,C39,,
2017-11-03,000727,1,1254,1,1,0,2.61,2.5,27,348,C39,,
2017-11-14,000727,1,201484,271,0,40,6.86,3.5,67,386,C39,,
2017-11-15,000727,1,153527,704,48,31,2.96,3.5,2090,394,C39,,
2017-12-23,000727,1,30120,88,88,9,0.78,3,397,361,C39,,
2017-12-25,000727,1,6176,15,5,6,0.11,3,978,326,C39,,
2017-05-26,000729,1,80964,119,100,26,7.89,4,574,383,C15,,
2017-07-23,000729,1,7329,15,12,0,8.05,4,574,383,C15,,
2017-05-29,000729,1,21166,30,26,9,3.15,3.5,1009,384,C15,,
2017-03-07,000729,1,3263,1,0,4,6.59,3,200,315,C15,,
2017-12-27,000729,1,4220,8,5,0,0.06,2.5,350,304,C15,,
2017-12-26,000732,2,13787,5,5,5,4.75,4,3997,0,K70,,
2017-12-25,000732,1,44427,16,16,7,4.75,4,3829,0,K70,,
2017-10-31,000732,1,11635,5,5,1,4.6,4,3778,0,K70,,
2017-12-06,000733,1,15867,13,13,8,4.7,3,1108,0,C39,,
2017-12-20,000733,1,72540,28,28,5,4.74,3,1207,0,C39,,
2017-11-26,000733,1,124041,109,22,18,1.65,3,399,346,C39,,
2017-04-13,000733,1,13406,38,18,7,1.02,3,420,317,C39,,
2017-07-12,000739,1,68489,66,66,14,4.3,3.5,2628,0,C27,,
2017-07-26,000759,1,15501,15,15,9,4.33,3.5,1360,0,F52,,
2017-11-12,000759,1,11203,10,7,3,4.11,3,115,332,F52,,
2017-12-08,000759,1,35911,11,11,2,4.7,3,1321,0,F52,,
2017-12-11,000759,1,38823,30,30,13,4.71,3.5,1363,0,F52,,
2017-12-17,000759,1,10449,10,4,4,3.85,5,5023,345,F52,,
2017-12-18,000759,1,33903,106,84,8,4.72,3,531,349,F52,,
2017-06-11,000762,1,27996,40,38,20,8.01,3.5,48,336,B08,,
2017-09-08,000762,1,57651,12,12,9,4.45,3.5,2600,0,B08,,
2017-09-14,000762,1,32807,25,16,12,1.68,2.5,201,337,B08,,
2017-11-08,000768,1,5179,29,26,1,0.33,2.5,68,369,C37,,
2017-03-18,000768,1,5144,24,12,1,3.83,4,382,333,C37,,
2017-08-30,000768,1,21042,33,30,1,0.24,3,148,293,C37,,
