PostDate,Stkcd,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2017-11-29,601288,1,26388,52,46,6,4.47,3,144,339,J66,,
2017-08-24,601288,1,18260,15,12,12,2.19,2.5,83,306,J66,,
2017-05-08,601288,1,51460,178,60,17,0.87,3.5,1338,347,J66,,
2017-11-30,601318,1,274321,368,0,26,2.42,3.5,113,372,J68,,
2017-11-19,601318,1,8242,11,3,0,8.35,2.5,625,349,J68,,
2017-11-16,601318,1,3381,7,2,2,0.58,3,1120,304,J68,,
2017-11-15,601318,1,8863,19,9,0,6.8,4.5,555,359,J68,,
2017-11-10,601318,1,2763,8,0,0,0.57,0,1057,345,J68,,
2017-09-12,601318,1,7696280,12101,1896,330,4.22,3.5,128,387,J68,,
2017-04-14,601318,1,9608,13,6,6,1.83,3.5,221,323,J68,,
2017-04-13,601318,1,2049,3,2,1,6.6,3,286,377,J68,,
2017-06-01,601318,1,4704,21,0,1,0.12,3,1067,386,J68,,
2017-04-17,601318,1,22830,47,22,1,2.89,3.5,291,388,J68,,
2017-05-19,601318,1,7590,17,5,4,0.09,3,1120,379,J68,,
2017-08-27,601318,1,7827,28,0,7,0.36,3,1067,386,J68,,
2017-05-24,601318,1,5788,16,0,5,0.1,3,1067,320,J68,,
2017-07-12,601318,1,9401,18,15,6,0.79,2.5,1392,331,J68,,
2017-04-08,601318,1,237579,343,0,33,4.23,3,124,331,J68,,
2017-04-26,601318,2,103962,133.5,70.5,25,1.47,3.25,704.5,377.5,J68,,
2017-09-20,601318,1,480369,669,106,47,2.78,3,332,380,J68,,
2017-05-03,601318,1,3263,6,0,0,0.04,3,1067,386,J68,,
2017-03-08,601318,1,94248,93,35,25,0.92,2.5,288,395,J68,,
2017-07-13,601328,2,6586,11.5,3,5.5,0.24,3,1074,310,J66,,
2017-04-26,601336,1,5800,14,7,5,0.02,3,1118,368,J68,,
2017-12-30,601375,1,368028,698,555,15,0.86,0,46,391,J67,,
2017-12-28,601375,1,631,1,1,0,1.98,1.5,284,321,J67,,
2017-09-07,601377,1,3468,3,2,0,2.07,1.5,162,118,J67,,
2017-08-30,601377,1,33422,6,6,2,4.43,4,567,0,J67,,
2017-08-18,601377,1,58196,14,14,3,4.39,4,567,0,J67,,
2017-08-09,601377,1,26127,2,2,1,4.37,4,567,0,J67,,
2017-05-11,601377,1,149005,115,69,40,1.35,3.5,1197,330,J67,,
2017-04-27,601377,1,43698,39,16,9,1.31,3.5,1197,330,J67,,
2017-07-13,601398,1,5069,8,0,2,0.24,0,1057,345,J66,,
2017-09-05,601398,1,55397,97,68,30,2.71,3.5,584,323,J66,,
2017-12-08,601398,1,2698,6,1,2,4.49,4,8767,354,J66,,
2017-03-06,601398,1,12924,3,2,0,3.94,3.5,708,0,J66,,
2017-06-08,601398,1,6890,14,2,2,0.14,3,1104,319,J66,,
2017-04-21,601398,1,2465,1,1,1,0.07,2,272,120,J66,,
2017-10-27,601555,1,4632,3,1,2,2.72,2,299,343,J67,,
2017-11-10,601555,1,5211,6,5,0,2.62,3,199,378,J67,,
2017-04-27,601555,1,82839,95,53,24,1.31,3.5,1197,330,J67,,
2017-11-15,601601,1,10256,17,7,1,6.8,4.5,555,359,J68,,
2017-04-26,601601,2,6345.5,7.5,2,4,0.02,3,1104,319,J68,,
2017-10-23,601628,1,5699,16,0,1,0.52,0,1057,345,J68,,
2017-11-15,601628,1,9682,26,16,1,6.8,4.5,643,297,J68,,
2017-07-11,601628,1,9454,15,2,6,0.23,3,1074,315,J68,,
2017-08-24,601628,1,290659,506,362,40,2.99,2.5,25,342,J68,,
2017-05-15,601628,1,2859,2,0,2,3.36,2.5,388,386,J68,,
2017-05-19,601628,1,7962,49,41,52,0.09,3,1118,379,J68,,
2017-04-26,601628,1,6324,13,3,2,0.02,3,1118,367,J68,,
2017-10-24,601688,1,27172,6,6,6,4.58,4.5,4461,0,J67,,
2017-05-11,601688,1,125205,91,55,27,1.35,3.5,1197,330,J67,,
2017-04-27,601688,1,68950,50,12,21,1.31,3.5,1197,330,J67,,
2017-05-11,601788,1,100214,63,19,30,1.35,3.5,1194,392,J67,,
2017-04-27,601788,1,72406,81,32,39,1.31,3.5,1262,353,J67,,
2017-12-23,601818,1,626865,796,230,76,1.17,3,3262,382,J66,,
2017-10-18,601818,1,1497,1,0,0,0.95,1,20,9,J66,,
2017-09-11,601818,1,50142,5,5,0,4.46,3.5,812,0,J66,,
2017-07-05,601818,1,10976,20,4,12,0.22,3,1074,321,J66,,
2017-07-05,601878,2,97475,106,10.5,21,0.78,2.5,2988,330,J67,,
2017-07-09,601878,1,38743,65,25,6,4.05,3,390,84,J67,,
2017-08-04,601881,1,77480,347,257,83,0.28,4,1264,378,J67,,
2017-02-17,601881,2,676,2,2,0,2.41,2.5,4,362,J67,,
2017-04-14,601901,1,22348,38,11,29,0.24,2.5,386,341,J67,,
2017-05-16,601901,1,254916,1349,1311,27,1.51,0,18,376,J67,,
2017-05-11,601901,1,243128,262,221,47,1.35,3.5,1197,330,J67,,
2017-04-27,601901,1,92416,78,39,19,1.31,3.5,1197,330,J67,,
2017-08-29,601901,1,40791,49,28,16,2.69,3.5,602,356,J67,,
2017-11-16,601901,1,5485,10,8,11,0.33,2,78,388,J67,,
2017-03-17,601901,1,1460,0,0,0,1.42,1,4,96,J67,,
2017-02-27,601901,1,8083,20,17,0,0.19,1,1,51,J67,,
2017-11-07,601939,39,2853.41,3.87,0.51,0.26,2.74,3,1443,365,J66,,
2017-12-06,601939,1,8450,13,9,3,3.43,3,143,319,J66,,
2017-09-25,601939,1,158831,628,330,30,2.46,3,2177,396,J66,,
2017-11-08,601939,4,3142.75,2.75,1.25,0.75,2.75,3,1443,365,J66,,
2017-11-24,601939,1,9512,11,5,3,3.73,3,1133,388,J66,,
2017-07-11,601939,1,8572,19,9,12,0.23,3,1074,315,J66,,
