PostDate,Stkcd,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2017-10-26,000572,2,30940,77.5,18.5,12,4.39,3,347,314,C36,,
2017-09-29,000572,1,23163,33,26,21,7.56,3,238,299,C36,,
2017-12-31,000585,1,26515,13,0,3,2.07,1.5,31,24,C38,,
2017-08-25,000585,1,16484,13,0,10,0.53,2,108,187,C38,,
2017-03-16,000585,1,2580,1,2,0,1.59,2,126,30,C38,,
2017-12-10,000589,1,133353,74,55,3,2.61,3.5,438,343,C29,,
2017-03-26,000590,1,5743,7,3,1,2.89,1,9,305,C27,,
2017-10-20,000595,1,37964,61,24,11,3.07,3.5,301,341,C34,,
2017-08-26,000599,1,7801,4,2,1,0.48,2,127,287,C29,,
2017-12-04,000600,1,25970,36,9,3,5.01,0,8,161,D44,,
2017-04-11,000605,1,10770,3,3,2,0.02,1.5,28,28,D46,,
2017-12-04,000606,2,11,0,0,0,4.69,4,1037,0,C27,,
2017-07-12,000606,1,27767,5,5,7,4.29,4,1037,0,C27,,
2017-11-15,000606,1,21892,5,5,1,4.64,4,1037,0,C27,,
2017-08-02,000607,1,32979,53,46,11,7.19,4,843,345,R85,,
2017-06-28,000611,1,6772,5,4,3,3.26,3,168,341,C17,,
2017-12-29,000613,1,31225,7,7,8,4.76,0,1113,0,H61,,
2017-10-13,000622,1,6405,10,8,6,9.36,3.5,320,320,C35,,
2017-07-20,000623,1,33702,21,6,13,1.62,1.5,37,111,C27,,
2017-05-09,000623,1,16666,39,14,9,0.88,3.5,1338,347,C27,,
2017-09-13,000623,1,35241,16,9,15,9.84,3.5,2459,342,C27,,
2017-12-22,000625,1,133822,73,43,18,2.71,2.5,424,320,C36,,
2017-12-11,000625,1,17710,28,20,6,2.68,2.5,426,331,C36,,
2017-12-18,000625,1,7056,7,6,1,0.43,2.5,329,328,C36,,
2017-12-20,000625,1,161927,78,42,45,2.71,2.5,426,334,C36,,
2017-06-22,000625,1,58111,21,21,4,4.24,4,2011,0,C36,,
2017-07-17,000625,1,2126,1,0,3,0.43,2.5,399,374,C36,,
2017-08-04,000625,1,24080,58,34,11,0.63,3,253,307,C36,,
2017-10-11,000625,1,3981,5,3,2,0.16,2,89,324,C36,,
2017-10-12,000625,2,5352,9.5,4,2.5,0.16,2,89,324,C36,,
2017-11-16,000625,1,1986,2,2,0,0.36,1.5,41,313,C36,,
2017-12-01,000625,2,8956,13.5,12.5,1.5,0.38,2.5,329,328,C36,,
2017-12-08,000625,1,12820,38,32,8,2.41,2.5,1136,334,C36,,
2017-03-07,000625,1,31271,43,15,14,3.39,2,51,339,C36,,
2017-03-23,000625,1,12318,22,13,3,1.96,2.5,433,386,C36,,
2017-05-19,000626,1,4604,9,8,5,4.01,3,440,329,F51,,
2017-06-13,000626,1,4565,14,11,3,4.08,3,440,329,F51,,
2017-07-03,000626,1,1870,1,0,1,4.14,3,440,329,F51,,
2017-07-07,000626,2,2234.5,2,1,1.5,4.15,3,440,329,F51,,
2017-07-11,000626,1,1728,2,1,2,4.16,3,440,329,F51,,
2017-08-21,000626,1,4669,14,11,2,4.27,3,502,357,F51,,
2017-09-12,000626,1,1864,1,0,0,4.33,3,503,357,F51,,
2017-11-27,000626,1,7695,10,0,2,2.54,4,750,315,F51,,
2017-12-27,000626,1,1653,1,0,1,4.62,3,502,357,F51,,
2017-12-28,000626,1,7617,9,7,3,2.21,4,643,336,F51,,
2017-04-19,000629,1,15851,3,3,1,4.06,4,1123,0,B08,,
2017-08-31,000630,1,64359,46,24,13,3.47,2.5,174,320,C32,,
2017-02-20,000630,1,23727,14,12,5,6.45,3.5,205,367,C32,,
2017-12-26,000631,2,8722.5,20.5,0,4,4.78,3,29,323,K70,,
2017-07-20,000631,1,123614,499,67,56,5.19,2,478,314,K70,,
2017-12-30,000633,1,38480,57,10,10,2.02,3.5,482,312,C38,,
2017-04-10,000633,1,128741,79,17,20,1.29,3.5,479,324,C38,,
2017-04-21,000633,2,8.5,0,0,0,4.07,3.5,1323,0,C38,,
2017-05-16,000633,2,15,0,0,0,4.14,3.5,1325,0,C38,,
2017-06-02,000633,2,21,0,0,0,4.18,3.5,1319,0,C38,,
2017-06-19,000633,2,7,0,0,0,4.23,3.5,1319,0,C38,,
2017-11-06,000633,1,49491,21,21,7,4.61,3.5,1259,0,C38,,
2017-11-17,000633,1,41286,28,28,13,4.64,3.5,1259,0,C38,,
2017-03-20,000633,1,30131,28,4,2,1.24,3.5,474,365,C38,,
2017-04-05,000633,2,35.5,0,0,0,4.02,3.5,1325,0,C38,,
2017-03-01,000633,2,32,0,0,0,3.93,3.5,1325,0,C38,,
2017-03-17,000633,1,1,0,0,0,3.97,3.5,1331,0,C38,,
2017-01-03,000635,2,74235.5,169.5,46.5,33,1.89,4.5,2857,346,C26,,
2017-09-07,000635,1,59489,38,38,23,4.45,3.5,1115,0,C26,,
2017-09-27,000635,2,25634,14,14,25,4.5,3.5,1115,0,C26,,
2017-12-26,000636,1,251388,1946,990,39,2.44,2.5,476,341,C39,,
2017-12-19,000636,1,84070,48,48,17,4.73,3.5,311,0,C39,,
2017-12-10,000636,1,37803,113,99,6,4.7,3,531,349,C39,,
2017-05-22,000637,1,7153,15,11,10,2.1,3,433,356,C25,,
2017-12-18,000637,1,9350,9,5,1,2.2,3.5,2654,326,C25,,
2017-07-10,000637,1,16777,30,6,5,3.27,2.5,225,355,C25,,
2017-04-05,000638,1,1184,1,1,0,1.78,2,69,10,F51,,
2017-04-21,000651,1,68739,119,80,59,0.72,2.5,80,302,C38,,
2017-05-11,000651,1,6825,19,0,0,0.07,3,1067,386,C38,,
2017-01-19,000651,1,136977,198,55,30,1.64,2.5,186,364,C38,,
2017-02-22,000651,1,11676,21,18,15,3.46,1.5,237,323,C38,,
2017-04-15,000651,2,7493,20.5,5,0,0.14,2.25,130.5,359.5,C38,,
2017-11-24,000651,3,2291,3.33,0,0.67,1.59,2.25,545,224.5,C38,,
2017-11-29,000651,1,7467,19,0,1,0.62,3,1104,330,C38,,
2017-12-06,000651,1,9461,17,14,2,1.35,2.5,79,374,C38,,
2017-12-09,000651,1,13804,27,19,9,4.87,4,3195,332,C38,,
2017-08-04,000651,1,6685,10,4,1,0.24,3,615,321,C38,,
2017-06-28,000651,1,492045,145,145,170,4.25,4.5,5407,0,C38,,
2017-06-02,000651,1,8437,10,4,0,0.93,1.5,19,131,C38,,
2017-07-11,000651,1,5440,13,1,1,0.23,3,1074,315,C38,,
2017-07-05,000651,1,4339,11,11,0,2.69,2.5,319,327,C38,,
2017-11-02,000651,1,5241,11,2,1,1.35,1.5,19,131,C38,,
2017-11-08,000651,1,31291,39,36,0,4.13,1.5,73,58,C38,,
2017-10-20,000651,1,7956,7,4,3,0.52,2.5,213,328,C38,,
2017-10-23,000651,1,12768,18,14,3,4.17,3,211,328,C38,,
2017-09-27,000651,1,8926,24,11,1,5.36,2.5,157,391,C38,,
2017-09-12,000651,1,1419,1,0,0,4.01,1.5,237,322,C38,,
2017-09-07,000651,1,2996,4,0,2,2.7,3,201,354,C38,,
2017-07-18,000652,1,10325,20,5,6,2.08,3.5,1358,364,F51,,
2017-12-05,000652,1,1012,0,1,2,1.94,2.5,2464,382,F51,,
2017-12-18,000652,1,3138,3,3,3,1.98,2.5,2464,382,F51,,
2017-10-21,000652,1,1783,1,0,0,1.71,2.5,2609,299,F51,,
2017-06-16,000652,1,8277,10,6,3,4.05,4,3592,381,F51,,
2017-08-07,000652,1,6074,6,0,0,1.51,2.5,2609,299,F51,,
2017-06-01,000652,1,5419,9,2,8,1.95,3.5,1358,361,F51,,
2017-05-12,000652,1,5690,9,2,4,1.9,3.5,1358,364,F51,,
2017-06-05,000652,2,16800.5,21,4,4.5,1.96,3.5,1358,364,F51,,
2017-07-06,000656,1,3241,2,2,0,0.01,1,6,58,K70,,
2017-12-29,000656,1,4825,7,3,3,2.62,3,264,336,K70,,
2017-10-19,000656,1,1842,2,2,2,0.07,0.5,3,2,K70,,
2017-03-01,000661,1,11265,19,0,1,2.08,3.5,1126,321,C27,,
2017-03-13,000661,1,51217,2,1,2,1.92,3.5,4215,342,C27,,
2017-09-05,000661,1,26734,9,9,4,4.44,3.5,3394,0,C27,,
2017-12-13,000661,1,27522,10,10,4,4.72,3.5,3394,0,C27,,
2017-01-18,000662,1,32482,5,0,1,3.81,3.5,758,0,I65,,
2017-12-12,000665,1,189412,420,0,13,3.38,3,149,387,R86,,
2017-12-13,000665,1,7840,11,10,0,8.38,3,891,332,R86,,
2017-10-23,000665,1,3165,7,3,2,8.24,3,891,334,R86,,
2017-11-13,000665,1,23230,78,43,6,8.3,3,891,332,R86,,
2017-06-22,000665,1,4500,3,3,3,7.9,3,891,334,R86,,
2017-07-11,000665,1,22812,15,15,6,4.29,3.5,1693,0,R86,,
2017-07-19,000665,2,18286,8,8,1,4.31,3.5,1693,0,R86,,
2017-09-18,000665,2,22731,26,22,3.5,6.31,3.25,1292,166,R86,,
2017-01-12,000666,1,5188,7,4,0,2.06,3,3155,335,C35,,
2017-01-16,000666,1,3277,1,0,0,1.68,2.5,518,397,C35,,
2017-06-28,000666,1,1694,2,2,2,2.52,3,3155,335,C35,,
2017-12-22,000668,1,3533,4,2,1,5.84,2,3,211,K70,,
2017-12-28,000668,1,17647,30,6,1,2.76,1.5,30,347,K70,,
2017-04-05,000669,1,59241,18,0,5,4.02,3.5,786,0,D45,,
2017-11-08,000670,1,9543,6,6,7,0.05,1,1,0,C39,,
2017-11-30,000670,1,8366,10,6,0,1.97,3,300,334,C39,,
2017-01-09,000672,1,3,0,0,0,3.27,3.5,1220,0,C30,,
2017-02-04,000672,2,4,0,0,0,3.35,3.5,1154,0,C30,,
2017-03-03,000672,2,6.5,0,0,0,3.42,3.5,1154,0,C30,,
