Stkcd,Accper,Typrep,Indcd
002198,2020-12-31,A,C27
002199,2020-12-31,A,C39
002200,2020-12-31,A,A02
002201,2020-12-31,A,C30
002202,2020-12-31,A,C34
002203,2020-12-31,A,C32
002204,2020-12-31,A,C35
002205,2020-12-31,A,C30
002206,2020-12-31,A,C28
002207,2020-12-31,A,B11
002208,2020-12-31,A,K70
002209,2020-12-31,A,C35
002210,2020-12-31,A,L72
002211,2020-12-31,A,C26
002212,2020-12-31,A,C38
002213,2020-12-31,A,C36
002214,2020-12-31,A,C39
002215,2020-12-31,A,C26
002216,2020-12-31,A,C14
002217,2020-12-31,A,C39
002218,2020-12-31,A,C38
002219,2020-12-31,A,C27
002221,2020-12-31,A,F51
002222,2020-12-31,A,C39
002223,2020-12-31,A,C35
002224,2020-12-31,A,C29
002225,2020-12-31,A,C30
002226,2020-12-31,A,C26
002227,2020-12-31,A,C38
002228,2020-12-31,A,C22
002229,2020-12-31,A,C23
002230,2020-12-31,A,I65
002231,2020-12-31,A,C39
002232,2020-12-31,A,I65
002233,2020-12-31,A,C30
002234,2020-12-31,A,A03
002235,2020-12-31,A,I64
002236,2020-12-31,A,C39
002237,2020-12-31,A,C32
002238,2020-12-31,A,I63
002239,2020-12-31,A,C36
002240,2020-12-31,A,C20
002241,2020-12-31,A,C39
002242,2020-12-31,A,C38
002243,2020-12-31,A,C29
002244,2020-12-31,A,K70
002245,2020-12-31,A,G58
002246,2020-12-31,A,C26
002247,2020-12-31,A,I64
002248,2020-12-31,A,C34
002249,2020-12-31,A,C38
002250,2020-12-31,A,C26
002251,2020-12-31,A,F52
002252,2020-12-31,A,C27
002253,2020-12-31,A,I65
002254,2020-12-31,A,C28
002255,2020-12-31,A,C34
002256,2020-12-31,A,D44
002258,2020-12-31,A,C26
002259,2020-12-31,A,D45
002260,2020-12-31,A,C38
002261,2020-12-31,A,I65
002262,2020-12-31,A,C27
002263,2020-12-31,A,C29
002264,2020-12-31,A,F52
002265,2020-12-31,A,C36
002266,2020-12-31,A,N77
002267,2020-12-31,A,D45
002268,2020-12-31,A,I65
002269,2020-12-31,A,C18
002270,2020-12-31,A,C38
002271,2020-12-31,A,C30
002272,2020-12-31,A,C34
002273,2020-12-31,A,C39
002274,2020-12-31,A,C26
002275,2020-12-31,A,C27
002276,2020-12-31,A,C38
002277,2020-12-31,A,F52
002278,2020-12-31,A,C35
